strategy,seed,episode,total_interest,months,avg_utilization,final_debt,all_paid,credit_proxy_score
Avalanche,999,54,3370.96,16,0.2151,0.0,True,814.5
NormalizedAvalanche,999,54,3548.9,15,0.2174,0.0,True,814.1
PPO,999,55,4576.47,18,0.1965,0.0,True,817.6
MinimumOnly,999,55,4517.49,18,0.1939,0.0,True,818.0
Snowball,999,55,4765.13,19,0.1945,0.0,True,817.9
Avalanche,999,55,4564.16,19,0.1872,0.0,True,819.1
NormalizedAvalanche,999,55,4490.61,18,0.1927,0.0,True,818.2
PPO,999,56,3431.07,16,0.2058,0.0,True,816.0
MinimumOnly,999,56,3724.06,15,0.2238,0.0,True,813.1
Snowball,999,56,4107.17,17,0.218,0.0,True,814.0
Avalanche,999,56,3526.88,17,0.2049,0.0,True,816.2
NormalizedAvalanche,999,56,3592.21,15,0.2205,0.0,True,813.6
PPO,999,57,3111.17,14,0.1952,0.0,True,817.8
MinimumOnly,999,57,3055.56,14,0.1926,0.0,True,818.2
Snowball,999,57,3242.9,15,0.1994,0.0,True,817.1
Avalanche,999,57,3242.9,15,0.1994,0.0,True,817.1
NormalizedAvalanche,999,57,3080.43,14,0.192,0.0,True,818.3
PPO,999,58,7088.85,24,0.2406,0.0,True,810.3
MinimumOnly,999,58,7426.85,25,0.2328,0.0,True,811.6
Snowball,999,58,7700.85,25,0.2365,0.0,True,811.0
Avalanche,999,58,6998.12,25,0.2347,0.0,True,811.3
NormalizedAvalanche,999,58,7491.76,25,0.2323,0.0,True,811.7
PPO,999,59,5282.32,19,0.268,0.0,True,805.8
MinimumOnly,999,59,5730.03,19,0.2726,0.0,True,805.0
Snowball,999,59,5902.76,20,0.2766,0.0,True,804.4
Avalanche,999,59,5337.44,19,0.2727,0.0,True,805.0
NormalizedAvalanche,999,59,5616.09,19,0.2689,0.0,True,805.6
PPO,999,60,618.27,6,0.2363,0.0,True,811.0
MinimumOnly,999,60,517.75,5,0.2091,0.0,True,815.5
Snowball,999,60,660.32,6,0.2457,0.0,True,809.5
Avalanche,999,60,618.27,6,0.2363,0.0,True,811.0
NormalizedAvalanche,999,60,533.28,5,0.2029,0.0,True,816.5
PPO,999,61,400.94,7,0.1626,0.0,True,823.2
MinimumOnly,999,61,414.31,7,0.1674,0.0,True,822.4
Snowball,999,61,459.39,7,0.1945,0.0,True,817.9
Avalanche,999,61,412.15,6,0.1993,0.0,True,817.1
NormalizedAvalanche,999,61,403.76,6,0.1813,0.0,True,820.1
PPO,999,62,4778.92,24,0.2505,0.0,True,808.7
MinimumOnly,999,62,4865.81,24,0.2553,0.0,True,807.9
Snowball,999,62,4988.25,25,0.2522,0.0,True,808.4
Avalanche,999,62,4811.29,25,0.2434,0.0,True,809.8
NormalizedAvalanche,999,62,4794.67,24,0.2501,0.0,True,808.7
PPO,999,63,2440.61,13,0.1896,0.0,True,818.7
MinimumOnly,999,63,2436.46,13,0.1852,0.0,True,819.4
Snowball,999,63,2547.14,14,0.1866,0.0,True,819.2
Avalanche,999,63,2547.14,14,0.1866,0.0,True,819.2
NormalizedAvalanche,999,63,2419.45,13,0.1807,0.0,True,820.2
PPO,999,64,1233.66,8,0.1733,0.0,True,821.4
MinimumOnly,999,64,1257.13,8,0.1775,0.0,True,820.7
Snowball,999,64,1356.53,9,0.1723,0.0,True,821.6
Avalanche,999,64,1192.8,8,0.1763,0.0,True,820.9
NormalizedAvalanche,999,64,1212.54,8,0.172,0.0,True,821.6
PPO,999,65,4831.65,18,0.2239,0.0,True,813.1
MinimumOnly,999,65,5343.2,18,0.2228,0.0,True,813.2
Snowball,999,65,6025.69,18,0.2313,0.0,True,811.8
Avalanche,999,65,5014.68,19,0.2238,0.0,True,813.1
NormalizedAvalanche,999,65,5407.22,18,0.2233,0.0,True,813.2
PPO,999,66,2728.74,12,0.251,0.0,True,808.6
MinimumOnly,999,66,2920.76,12,0.2431,0.0,True,809.9
Snowball,999,66,3134.58,13,0.267,0.0,True,805.9
Avalanche,999,66,2702.85,12,0.2517,0.0,True,808.5
NormalizedAvalanche,999,66,2879.62,12,0.2421,0.0,True,810.1
PPO,999,67,2831.33,10,0.2274,0.0,True,812.5
MinimumOnly,999,67,2998.2,10,0.2317,0.0,True,811.8
Snowball,999,67,3002.9,10,0.2284,0.0,True,812.3
Avalanche,999,67,3113.96,11,0.2356,0.0,True,811.1
NormalizedAvalanche,999,67,2870.76,10,0.2252,0.0,True,812.8
PPO,999,68,23271.16,59,0.2253,0.0,True,812.8
MinimumOnly,999,68,24340.83,60,0.2246,0.0,True,812.9
Snowball,999,68,25349.63,60,0.2293,335.0,False,810.3
Avalanche,999,68,23025.11,59,0.2251,0.0,True,812.9
NormalizedAvalanche,999,68,23378.79,59,0.2253,0.0,True,812.8
PPO,999,69,8091.37,39,0.2903,0.0,True,802.1
MinimumOnly,999,69,8258.66,38,0.2988,0.0,True,800.7
